,datos
479,6.16
480,4.64
481,3.36
482,2.08
483,1.2
484,0.72
485,0.56
486,0.56
487,0.8
488,1.36
489,2.08
490,3.36
491,4.72
492,6.0
493,7.36
494,8.4
495,9.36
496,10.0
497,10.16
498,9.76
499,8.96
500,7.84
501,6.640000000000001
502,5.2
503,3.92
504,2.56
505,1.6
506,0.96
507,0.64
508,0.64
509,0.72
510,1.12
511,1.76
512,2.72
513,4.08
514,5.36
515,6.72
516,8.0
517,8.96
518,9.68
519,10.08
520,9.84
521,9.200000000000001
522,8.32
523,7.2
524,5.84
525,4.48
526,3.2
527,2.08
528,1.36
529,0.8
530,0.64
531,0.64
532,0.96
533,1.44
534,2.32
535,3.52
536,4.8
537,6.24
538,7.44
539,8.48
540,9.28
541,9.84
542,9.84
543,9.44
544,8.64
545,7.6000000000000005
546,6.48
547,5.12
548,3.84
549,2.56
550,1.6
551,1.04
552,0.72
553,0.64
554,0.72
555,1.2
556,1.92
557,2.96
558,4.32
559,5.5200000000000005
560,6.88
561,8.0
562,8.96
563,9.52
564,9.84
565,9.6
566,8.96
567,8.08
568,7.04
569,5.68
570,4.4
571,3.04
572,2.08
573,1.2
574,0.8
575,0.72
576,0.72
577,1.04
578,1.6
579,2.4
580,3.7600000000000002
581,4.96
582,6.24
583,7.44
584,8.48
585,9.200000000000001
586,9.68
587,9.76
588,9.28
589,8.56
590,7.44
591,6.24
592,4.88
593,3.6
594,2.4
595,1.6
596,1.04
597,0.72
598,0.72
599,0.96
600,1.36
601,2.08
602,3.12
603,4.32
604,5.6000000000000005
605,6.96
606,8.0
607,8.96
608,9.52
609,9.68
610,9.44
611,8.8
612,7.84
613,6.72
614,5.44
615,4.24
616,2.96
617,2.0
618,1.28
619,0.96
620,0.72
621,0.8
622,1.12
623,1.68
624,2.64
625,3.84
626,5.04
627,6.4
628,7.6000000000000005
629,8.48
630,9.200000000000001
631,9.52
632,9.52
633,8.96
634,8.24
635,7.2
636,6.0
637,4.8
638,3.52
639,2.32
640,1.6
641,1.04
642,0.8
643,0.8
644,0.96
645,1.44
646,2.24
647,3.36
648,4.5600000000000005
649,5.76
650,7.04
651,8.0
652,8.8
653,9.36
654,9.52
655,9.200000000000001
656,8.56
657,7.68
658,6.5600000000000005
659,5.2
660,4.08
661,2.8000000000000003
662,1.84
663,1.2
664,0.88
665,0.8
666,0.96
667,1.2
668,1.92
669,2.72
670,4.0
671,5.2
672,6.4
673,7.5200000000000005
674,8.48
675,9.040000000000001
676,9.44
677,9.36
678,8.88
679,8.0
680,7.04
681,5.76
682,4.5600000000000005
683,3.36
684,2.24
685,1.52
686,1.04
687,0.88
688,0.88
689,1.12
690,1.6
691,2.32
692,3.44
693,4.64
694,5.92
695,7.04
696,8.08
697,8.88
698,9.28
699,9.28
700,8.96
701,8.32
702,7.44
703,6.32
704,5.04
705,3.84
706,2.72
707,1.92
708,1.28
709,0.96
710,0.88
711,1.04
712,1.36
713,2.0
714,2.96
715,4.16
716,5.36
717,6.5600000000000005
718,7.6000000000000005
719,8.48
720,9.040000000000001
721,9.28
722,9.120000000000001
723,8.56
724,7.76
725,6.72
726,5.6000000000000005
727,4.48
728,3.2800000000000002
729,2.16
730,1.52
731,1.12
732,0.88
733,0.96
734,1.2
735,1.76
736,2.48
737,3.7600000000000002
738,4.88
739,6.08
740,7.2
741,8.08
742,8.72
743,9.120000000000001
744,9.120000000000001
745,8.8
746,8.16
747,7.2
748,6.16
749,4.96
750,3.84
751,2.56
752,1.76
753,1.2
754,0.96
755,0.96
756,1.12
757,1.52
758,2.16
759,3.2
760,4.32
761,5.5200000000000005
762,6.640000000000001
763,7.6000000000000005
764,8.4
765,8.96
766,9.120000000000001
767,8.96
768,8.4
769,7.6000000000000005
770,6.5600000000000005
771,5.36
772,4.24
773,3.04
774,2.08
775,1.52
776,1.12
777,0.96
778,1.12
779,1.36
780,1.92
781,2.64
782,3.84
783,4.88
784,6.16
785,7.28
786,8.08
787,8.72
788,9.040000000000001
789,8.96
790,8.64
791,7.92
792,7.04
793,5.92
794,4.64
795,3.6
796,2.48
797,1.76
798,1.28
799,1.04
800,0.96
801,1.12
802,1.6
803,2.24
804,3.36
805,4.48
806,5.68
807,6.8
808,7.76
809,8.48
810,8.96
811,8.96
812,8.72
813,8.24
814,7.44
815,6.4
816,5.2
817,4.16
818,3.04
819,2.08
820,1.52
821,1.12
822,1.04
823,1.04
824,1.44
825,2.0
826,2.88
827,4.0
828,5.2
829,6.32
830,7.36
831,8.08
832,8.72
833,8.96
834,8.88
835,8.4
836,7.76
837,6.8
838,5.76
839,4.5600000000000005
840,3.52
841,2.4
842,1.68
843,1.2
844,1.04
845,1.04
846,1.28
847,1.76
848,2.56
849,3.6
850,4.64
851,5.76
852,6.88
853,7.76
854,8.4
855,8.88
856,8.88
857,8.64
858,8.08
859,7.2
860,6.24
861,5.04
862,3.92
863,2.8000000000000003
864,2.0
865,1.44
866,1.12
867,1.04
868,1.28
869,1.52
870,2.08
871,3.04
872,4.16
873,5.2
874,6.4
875,7.36
876,8.16
877,8.72
878,8.96
879,8.72
880,8.32
881,7.5200000000000005
882,6.640000000000001
883,5.44
884,4.4
885,3.36
886,2.32
887,1.68
888,1.28
889,1.12
890,1.12
891,1.36
892,1.92
893,2.56
894,3.68
895,4.8
896,6.0
897,6.96
898,7.84
899,8.48
900,8.8
901,8.8
902,8.4
903,7.84
904,7.04
905,6.0
906,4.88
907,3.84
908,2.72
909,2.0
910,1.44
911,1.12
912,1.12
913,1.2
914,1.68
915,2.24
916,3.36
917,4.32
918,5.44
919,6.48
920,7.44
921,8.16
922,8.64
923,8.72
924,8.64
925,8.16
926,7.36
927,6.48
928,5.36
929,4.32
930,3.2
931,2.24
932,1.6
933,1.28
934,1.12
935,1.2
936,1.52
937,2.0
938,2.8000000000000003
939,3.92
940,4.96
941,6.08
942,7.04
943,7.84
944,8.4
945,8.72
946,8.72
947,8.32
948,7.76
949,6.88
950,5.84
951,4.72
952,3.68
953,2.56
954,1.84
955,1.44
956,1.2
957,1.2
958,1.36
959,1.76
960,2.4
961,3.44
962,4.48
963,5.5200000000000005
964,6.5600000000000005
965,7.5200000000000005
966,8.16
967,8.56
968,8.72
969,8.48
970,8.0
971,7.2
972,6.24
973,5.2
974,4.16
975,3.04
976,2.16
977,1.68
978,1.36
979,1.2
980,1.28
981,1.6
982,2.08
983,2.96
984,4.08
985,5.04
986,6.24
987,7.12
988,7.92
989,8.4
990,8.72
991,8.56
992,8.16
993,7.6000000000000005
994,6.640000000000001
995,5.6000000000000005
996,4.64
997,3.6
998,2.48
999,1.84
1000,1.44
1001,1.2
1002,1.2
1003,1.44
1004,1.92
1005,2.56
1006,3.68
1007,4.64
1008,5.76
1009,6.72
1010,7.6000000000000005
1011,8.16
1012,8.56
1013,8.64
1014,8.32
1015,7.84
1016,7.12
1017,6.16
1018,5.04
1019,4.0
1020,2.96
1021,2.08
1022,1.6
1023,1.28
1024,1.2
1025,1.36
1026,1.68
1027,2.32
1028,3.2
1029,4.24
1030,5.2
1031,6.32
1032,7.2
1033,7.92
1034,8.4
1035,8.64
1036,8.48
1037,8.08
1038,7.44
1039,6.5600000000000005
1040,5.5200000000000005
1041,4.4
1042,3.44
1043,2.4
1044,1.76
1045,1.44
1046,1.28
1047,1.28
1048,1.6
1049,2.0
1050,2.72
1051,3.7600000000000002
1052,4.8
1053,5.84
1054,6.8
1055,7.6000000000000005
1056,8.24
1057,8.56
1058,8.56
1059,8.24
1060,7.68
1061,6.96
1062,6.0
1063,4.88
1064,3.84
1065,2.8000000000000003
1066,2.08
1067,1.6
1068,1.36
1069,1.28
1070,1.44
1071,1.84
1072,2.32
1073,3.36
1074,4.32
1075,5.36
1076,6.4
1077,7.28
1078,8.0
1079,8.4
1080,8.56
1081,8.4
1082,7.92
1083,7.28
1084,6.4
1085,5.36
1086,4.4
1087,3.36
1088,2.4
1089,1.76
1090,1.44
1091,1.28
1092,1.36
1093,1.6
1094,2.08
1095,2.8000000000000003
1096,4.0
1097,4.88
1098,6.0
1099,6.96
1100,7.6000000000000005
1101,8.16
1102,8.48
1103,8.48
1104,8.08
1105,7.6000000000000005
1106,6.8
1107,5.84
1108,4.8
1109,3.84
1110,2.8000000000000003
1111,2.08
1112,1.6
1113,1.36
1114,1.28
1115,1.52
1116,1.92
1117,2.56
1118,3.52
1119,4.48
1120,5.5200000000000005
1121,6.48
1122,7.28
1123,7.92
1124,8.32
1125,8.48
1126,8.32
1127,7.84
1128,7.12
1129,6.24
1130,5.2
1131,4.16
1132,3.2
1133,2.32
1134,1.76
1135,1.44
1136,1.36
1137,1.44
1138,1.76
1139,2.24
1140,3.04
1141,4.08
1142,5.04
1143,6.08
1144,6.96
1145,7.68
1146,8.24
1147,8.48
1148,8.4
1149,8.08
1150,7.44
1151,6.640000000000001
1152,5.6000000000000005
1153,4.64
1154,3.68
1155,2.72
1156,2.08
1157,1.6
1158,1.44
1159,1.36
1160,1.6
1161,2.0
1162,2.64
1163,3.6
1164,4.64
1165,5.6000000000000005
1166,6.5600000000000005
1167,7.44
1168,8.0
1169,8.32
1170,8.4
1171,8.16
1172,7.68
1173,6.96
1174,6.16
1175,5.04
1176,4.16
1177,3.12
1178,2.24
1179,1.84
1180,1.52
1181,1.36
1182,1.44
1183,1.76
1184,2.32
1185,3.2
1186,4.24
1187,5.12
1188,6.24
1189,7.04
1190,7.68
1191,8.16
1192,8.4
1193,8.32
1194,7.92
1195,7.36
1196,6.48
1197,5.5200000000000005
1198,4.5600000000000005
1199,3.6
1200,2.64
1201,2.0
1202,1.52
1203,1.44
1204,1.44
1205,1.6
1206,2.08
1207,2.8000000000000003
1208,3.84
1209,4.72
1210,5.76
1211,6.72
1212,7.44
1213,8.0
1214,8.24
1215,8.32
1216,8.16
1217,7.6000000000000005
1218,6.88
1219,6.0
1220,4.96
1221,4.0
1222,2.96
1223,2.24
1224,1.76
1225,1.52
1226,1.44
1227,1.6
1228,1.92
1229,2.48
1230,3.36
1231,4.32
1232,5.2
1233,6.24
1234,7.04
1235,7.68
1236,8.16
1237,8.4
1238,8.24
1239,7.84
1240,7.2
1241,6.32
1242,5.36
1243,4.4
1244,3.52
1245,2.56
1246,2.0
1247,1.6
1248,1.52
1249,1.52
1250,1.76
1251,2.16
1252,2.96
1253,3.92
1254,4.8
1255,5.76
1256,6.72
1257,7.44
1258,8.0
1259,8.24
1260,8.24
1261,8.0
1262,7.44
1263,6.640000000000001
1264,5.76
1265,4.8
1266,3.92
1267,2.96
1268,2.24
1269,1.84
1270,1.52
1271,1.44
1272,1.6
1273,1.92
1274,2.56
1275,3.6
1276,4.48
1277,5.36
1278,6.4
1279,7.2
1280,7.76
1281,8.16
1282,8.24
1283,8.16
1284,7.68
1285,7.04
1286,6.24
1287,5.28
1288,4.32
1289,3.44
1290,2.48
1291,2.0
1292,1.6
1293,1.44
1294,1.52
1295,1.84
1296,2.32
1297,3.12
1298,4.08
1299,4.88
1300,6.0
1301,6.72
1302,7.44
1303,7.92
1304,8.16
1305,8.16
1306,7.92
1307,7.36
1308,6.640000000000001
1309,5.68
1310,4.8
1311,3.7600000000000002
1312,2.88
