,datos
0,-2.96
1,-2.96
2,-2.96
3,-2.96
4,-2.96
5,-2.96
6,-2.96
7,-2.96
8,-2.96
9,-2.96
10,-2.96
11,-2.96
12,-2.96
13,-2.96
14,-2.96
15,-2.96
16,-2.96
17,-2.96
18,-2.96
19,-2.96
20,-2.96
21,-2.96
22,-2.96
23,-2.96
24,-2.96
25,-2.96
26,-2.96
27,-2.96
28,-2.96
29,-2.96
30,-2.96
31,-2.96
32,-2.96
33,-2.96
34,-2.96
35,-2.96
36,-2.96
37,-2.96
38,-2.96
39,-2.96
40,-2.96
41,-2.96
42,-2.96
43,-2.96
44,-2.96
45,-2.96
46,-2.96
47,-2.96
48,-2.96
49,-2.96
50,-2.96
51,-2.96
52,-2.96
53,-2.96
54,-2.96
55,-2.96
56,-2.96
57,-2.96
58,-2.96
59,-2.96
60,-2.96
61,-2.96
62,-2.96
63,-2.96
64,-2.96
65,-2.96
66,-2.96
67,-2.96
68,-2.96
69,-2.96
70,-2.96
71,-2.96
72,-2.96
73,-2.96
74,-2.96
75,-2.96
76,-2.96
77,-2.96
78,-2.96
79,-2.96
80,-2.96
81,-2.96
82,-2.96
83,-2.96
84,-2.96
85,-2.96
86,-2.96
87,-2.96
88,-2.96
89,-2.96
90,-2.96
91,-2.96
92,-2.96
93,-2.96
94,-2.96
95,-2.96
96,-2.96
97,-2.96
98,-2.96
99,-2.96
100,-2.96
101,-2.96
102,-2.96
103,-2.96
104,-2.96
105,-2.96
106,-2.96
107,-2.96
108,-2.96
109,-2.96
110,-2.96
111,-2.96
112,-2.96
113,-2.96
114,-2.96
115,-2.96
116,-2.96
117,-2.96
118,-2.96
119,-2.96
120,-2.96
121,-2.96
122,-2.96
123,-2.96
124,-2.96
125,-2.96
126,-2.96
127,-2.96
128,-2.96
129,-2.96
130,-2.96
131,-2.96
132,-2.96
133,-2.96
134,7.04
135,6.32
136,5.36
137,4.48
138,3.6
139,2.8000000000000003
140,2.24
141,2.0
142,1.84
143,1.84
144,2.16
145,2.64
146,3.44
147,4.32
148,5.12
149,6.16
150,6.96
151,7.5200000000000005
152,8.0
153,8.24
154,8.16
155,7.84
156,7.36
157,6.640000000000001
158,5.76
159,4.88
160,4.08
161,3.2
162,2.48
163,2.08
164,1.84
165,1.84
166,2.0
167,2.48
168,3.2
169,4.0
170,4.88
171,5.68
172,6.640000000000001
173,7.28
174,7.76
175,8.16
176,8.16
177,8.0
178,7.6000000000000005
179,6.96
180,6.16
181,5.2
182,4.4
183,3.6
184,2.72
185,2.16
186,1.92
187,1.84
188,1.92
189,2.32
190,2.8000000000000003
191,3.68
192,4.48
193,5.28
194,6.24
195,6.96
196,7.6000000000000005
197,8.0
198,8.16
199,8.08
200,7.76
201,7.2
202,6.48
203,5.5200000000000005
204,4.72
205,3.92
206,3.04
207,2.4
208,2.08
209,1.92
210,1.92
211,2.16
212,2.56
213,3.2800000000000002
214,4.16
215,4.96
216,5.76
217,6.640000000000001
218,7.36
219,7.84
220,8.08
221,8.16
222,7.92
223,7.44
224,6.8
225,6.0
226,5.04
227,4.32
228,3.44
229,2.72
230,2.24
231,2.0
232,1.92
233,2.0
234,2.32
235,2.88
236,3.7600000000000002
237,4.64
238,5.44
239,6.32
