,datos
0,-2.96
1,-2.96
2,-2.96
3,-2.96
4,-2.96
5,-2.96
6,-2.96
7,-2.96
8,-2.96
9,-2.96
10,-2.96
11,-2.96
12,-2.96
13,-2.96
14,-2.96
15,-2.96
16,-2.96
17,-2.96
18,-2.96
19,-2.96
20,-2.96
21,-2.96
22,-2.96
23,-2.96
24,-2.96
25,-2.96
26,-2.96
27,-2.96
28,-2.96
29,-2.96
30,-2.96
31,-2.96
32,-2.96
33,-2.96
34,-2.96
35,-2.96
36,-2.96
37,-2.96
38,-2.96
39,-2.96
40,-2.96
41,-2.96
42,-2.96
43,-2.96
44,-2.96
45,-2.96
46,-2.96
47,-2.96
48,-2.96
49,-2.96
50,-2.96
51,-2.96
52,-2.96
53,-2.96
54,-2.96
55,-2.96
56,-2.96
57,-2.96
58,-2.96
59,-2.96
60,-2.96
61,-2.96
62,-2.96
63,-2.96
64,-2.96
65,-2.96
66,-2.96
67,-2.96
68,-2.96
69,-2.96
70,-2.96
71,-2.96
72,-2.96
73,-2.96
74,-2.96
75,-2.96
76,-2.96
77,-2.96
78,-2.96
79,-2.96
80,-2.96
81,-2.96
82,-2.96
83,-2.96
84,-2.96
85,-2.96
86,-2.96
87,-2.96
88,-2.96
89,-2.96
90,-2.96
91,-2.96
92,-2.96
93,-2.96
94,-2.96
95,-2.96
96,-2.96
97,-2.96
98,-2.96
99,-2.96
100,-2.96
101,-2.96
102,-2.96
103,-2.96
104,-2.96
105,-2.96
106,-2.96
107,-2.96
108,-2.96
109,-2.96
110,-2.96
111,-2.96
112,-2.96
113,-2.96
114,-2.96
115,-2.96
116,-2.96
117,-2.96
118,-2.96
119,-2.96
120,-2.96
121,-2.96
122,-2.96
123,-2.96
124,-2.96
125,-2.96
126,-2.96
127,-2.96
128,-2.96
129,-2.96
130,-2.96
131,-2.96
132,-2.96
133,-2.96
134,-2.96
135,-2.96
136,-2.96
137,-2.96
138,-2.96
139,-2.96
140,-2.96
141,-2.96
142,-2.96
143,-2.96
144,-2.96
145,-2.96
146,-2.96
147,-2.96
148,-2.96
149,-2.96
150,-2.96
151,-2.96
152,-2.96
153,-2.96
154,-2.96
155,-2.96
156,-2.96
157,-2.96
158,-2.96
159,-2.96
160,-2.96
161,-2.96
162,-2.96
163,-2.96
164,-2.96
165,-2.96
166,-2.96
167,-2.96
168,-2.96
169,-2.96
170,11.200000000000001
171,11.200000000000001
172,11.040000000000001
173,9.84
174,8.24
175,6.640000000000001
176,4.8
177,3.04
178,1.6
179,0.64
180,0.24
181,0.08
182,0.16
183,0.24
184,0.56
185,1.44
186,2.72
187,4.48
188,6.24
189,7.84
190,9.36
191,10.8
192,11.200000000000001
193,11.28
194,11.120000000000001
195,10.56
196,8.96
197,7.36
198,5.5200000000000005
199,3.92
200,2.24
201,1.12
202,0.32
203,0.16
204,0.16
205,0.16
206,0.32
207,1.04
208,2.08
209,3.68
210,5.36
211,7.04
212,8.64
213,10.24
214,11.040000000000001
215,11.28
216,11.200000000000001
217,10.88
218,9.52
219,8.0
220,6.4
221,4.64
222,2.96
223,1.6
224,0.72
225,0.24
226,0.16
227,0.16
228,0.24
229,0.64
230,1.52
231,2.96
232,4.64
233,6.32
234,7.92
235,9.44
