,tension,tiempo
0,0.552,-0.18
1,0.552,-0.178
2,0.552,-0.176
3,0.552,-0.174
4,0.552,-0.172
5,0.552,-0.16999999999999998
6,0.552,-0.16799999999999998
7,0.552,-0.16599999999999998
8,0.552,-0.16399999999999998
9,0.552,-0.16199999999999998
10,0.56,-0.16
11,0.552,-0.158
12,0.552,-0.156
13,0.552,-0.154
14,0.552,-0.152
15,0.56,-0.15
16,0.56,-0.148
17,0.552,-0.146
18,0.552,-0.144
19,0.552,-0.142
20,0.552,-0.13999999999999999
21,0.552,-0.13799999999999998
22,0.552,-0.136
23,0.552,-0.134
24,0.552,-0.132
25,0.552,-0.13
26,0.552,-0.128
27,0.552,-0.126
28,0.552,-0.124
29,0.552,-0.122
30,0.552,-0.12
31,0.552,-0.118
32,0.552,-0.11599999999999999
33,0.544,-0.11399999999999999
34,0.544,-0.11199999999999999
35,0.544,-0.10999999999999999
36,0.552,-0.10799999999999998
37,0.552,-0.106
38,0.552,-0.104
39,0.552,-0.102
40,0.56,-0.09999999999999999
41,0.552,-0.09799999999999999
42,0.552,-0.09599999999999999
43,0.552,-0.09399999999999999
44,0.552,-0.092
45,0.552,-0.09
46,0.552,-0.088
47,0.552,-0.086
48,0.552,-0.08399999999999999
49,0.552,-0.08199999999999999
50,0.56,-0.07999999999999999
51,0.552,-0.07799999999999999
52,0.56,-0.07599999999999998
53,0.552,-0.074
54,0.552,-0.072
55,0.552,-0.06999999999999999
56,0.552,-0.06799999999999999
57,0.552,-0.06599999999999999
58,0.56,-0.06399999999999999
59,0.552,-0.061999999999999986
60,0.552,-0.06
61,0.552,-0.057999999999999996
62,0.552,-0.055999999999999994
63,0.552,-0.05399999999999999
64,0.544,-0.05199999999999999
65,0.552,-0.04999999999999999
66,0.552,-0.04799999999999999
67,0.552,-0.045999999999999985
68,0.552,-0.043999999999999984
69,0.552,-0.04199999999999998
70,0.552,-0.03999999999999998
71,0.552,-0.03799999999999998
72,0.544,-0.035999999999999976
73,0.552,-0.034
74,0.552,-0.032
75,0.552,-0.03
76,0.552,-0.027999999999999997
77,0.552,-0.025999999999999995
78,0.56,-0.023999999999999994
79,0.56,-0.021999999999999992
80,0.56,-0.01999999999999999
81,0.552,-0.017999999999999988
82,0.552,-0.015999999999999986
83,0.552,-0.013999999999999985
84,0.552,-0.011999999999999983
85,0.552,-0.009999999999999981
86,0.552,-0.00799999999999998
87,0.544,-0.005999999999999978
88,0.448,-0.0040000000000000036
89,0.64,-0.0020000000000000018
90,0.776,0.0
91,0.864,0.0020000000000000018
92,0.8,0.0040000000000000036
93,0.72,0.006000000000000005
94,0.8240000000000001,0.008000000000000007
95,0.88,0.010000000000000009
96,0.936,0.01200000000000001
97,0.872,0.014000000000000012
98,0.776,0.016000000000000014
99,0.792,0.018000000000000016
100,0.784,0.020000000000000018
101,0.848,0.02200000000000002
102,0.752,0.02400000000000002
103,0.6,0.026000000000000023
104,0.504,0.028000000000000025
105,0.488,0.03
106,0.544,0.032
107,0.456,0.034
108,0.328,0.036000000000000004
109,0.256,0.038000000000000006
110,0.232,0.04000000000000001
111,0.296,0.04200000000000001
112,0.272,0.04400000000000001
113,0.24,0.04600000000000001
114,0.192,0.048000000000000015
115,0.184,0.05000000000000002
116,0.256,0.05200000000000002
117,0.296,0.05400000000000002
118,0.34400000000000003,0.05600000000000002
119,0.304,0.058000000000000024
120,0.36,0.06
121,0.448,0.062
122,0.552,0.064
123,0.64,0.066
124,0.656,0.068
125,0.6960000000000001,0.07
126,0.736,0.07200000000000001
127,0.792,0.07400000000000001
128,0.8320000000000001,0.07600000000000001
129,0.84,0.07800000000000001
130,0.84,0.08000000000000002
131,0.8240000000000001,0.08200000000000002
132,0.84,0.08400000000000002
133,0.8320000000000001,0.08600000000000002
134,0.8160000000000001,0.08800000000000002
135,0.768,0.09000000000000002
136,0.712,0.09200000000000003
137,0.664,0.09400000000000003
138,0.632,0.09600000000000003
139,0.6,0.09800000000000003
140,0.496,0.10000000000000003
141,0.4,0.10200000000000004
142,0.304,0.10400000000000004
143,0.28800000000000003,0.10600000000000004
144,0.296,0.10800000000000004
145,0.264,0.10999999999999999
146,0.216,0.11199999999999999
147,0.176,0.11399999999999999
148,0.184,0.11599999999999999
149,0.224,0.118
150,0.272,0.12
151,0.264,0.122
152,0.24,0.124
153,0.264,0.126
154,0.368,0.128
155,0.496,0.13
156,0.552,0.132
157,0.544,0.134
158,0.5680000000000001,0.136
159,0.6880000000000001,0.138
160,0.784,0.14
161,0.8160000000000001,0.14200000000000002
162,0.8,0.14400000000000002
163,0.784,0.14600000000000002
164,0.808,0.14800000000000002
165,0.864,0.15000000000000002
166,0.872,0.15200000000000002
167,0.8160000000000001,0.15400000000000003
168,0.752,0.15600000000000003
169,0.728,0.15800000000000003
170,0.752,0.16000000000000003
171,0.728,0.16200000000000003
172,0.632,0.16400000000000003
173,0.488,0.16600000000000004
174,0.41600000000000004,0.16800000000000004
175,0.424,0.17000000000000004
176,0.40800000000000003,0.172
177,0.328,0.174
178,0.232,0.176
179,0.2,0.178
